,Ссылка,Всего услуг,"Полностью электронных, %успешных","Частично электронных, %успешных","Неэлектронных, %успешных",% успешных
"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Соломбальскому, Северному и Маймаксанскому территориальным округам г.Архангельска)",https://gosuslugi29.ru/pgu/department/info.htm?id=15933@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по территориальному округу Варавино-Фактория г.Архангельска)",https://gosuslugi29.ru/pgu/department/info.htm?id=15934@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по территориальному округу Майская горка г.Архангельска)",https://gosuslugi29.ru/pgu/department/info.htm?id=15935@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Устьянскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15928@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Холмогорскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15929@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Шенкурскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15930@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Государственное автономное учреждение Архангельской области 
«Архангельский региональный бизнес-инкубатор»",https://gosuslugi29.ru/pgu/department/info.htm?id=21504@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Государственное унитарное предприятие Архангельской области ""Инвестиционная компания""Архангельск""""",https://gosuslugi29.ru/pgu/department/info.htm?id=21506@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Микрофинансовая организация «Архангельский региональный фонд микрофинансирования»,https://gosuslugi29.ru/pgu/department/info.htm?id=21505@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Муниципальные образования Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15645@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Администрация Шенкурского муниципального района Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15674@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация муниципального образования ""Афанасьевское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21158@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация муниципального образования ""Выйское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21159@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация муниципального образования ""Двинское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21174@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация муниципального образования ""Сефтренское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21163@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация муниципального образования ""Федьковское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21155@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Администрация муниципального образования «Горковское»,https://gosuslugi29.ru/pgu/department/info.htm?id=21161@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Комиссия по делам несовершеннолетних и защите их прав администрации муниципального образования ""Верхнетоемский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=16115@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Комитет по управлению муниципальным имуществом Верхнетоемского муниципального района Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15985@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Отдел опеки и попечительства Управления образования администрации Верхнетоемского муниципального района Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15685@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Отдел учета и отчетности администрации муниципального образования ""Верхнетоемский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=16335@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Управление образования администрации Верхнетоемского муниципального района Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=16077@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация муниципального образования ""Ильинское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21628@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация муниципального образования ""Павловское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21136@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Архивный отдел администрации муниципального образования ""Вилегодский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=21228@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Отдел опеки и попечительства администрации муниципального образования ""Вилегодский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=15681@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Отдел оргработы администрации муниципального образования ""Вилегодский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=21229@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Отдел архитектуры и строительства администрации муниципального образования ""Вилегодский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=16343@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Отдел земельных и имущественных отношений,https://gosuslugi29.ru/pgu/department/info.htm?id=21434@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация городского поселения ""Березниковское"" Виноградовского муниципального округа",https://gosuslugi29.ru/pgu/department/info.htm?id=21093@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация муниципального образования ""Заостровское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21109@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация муниципального образования ""Осиновское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21144@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация муниципального образования ""Рочегодское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21203@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Архивный отдел администрации муниципального образования ""Виноградовский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=16349@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальная комиссия по делам несовершеннолетних и защите их прав Администрации муниципального образования ""Виноградовский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=16121@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Отдел АПК и торговли администрации муниципального образования ""Виноградовский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=16172@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Отдел образования муниципального образования ""Виноградовский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=16053@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Отдел экономического прогнозирования и содействия развитию малого и среднего бизнеса МО ""Виноградовский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=16169@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Структурное подразделение администрации муниципального образования «Виноградовский муниципальный район» Комитет по управлению имуществом муниципального образования «Виноградовский муниципальный район»,https://gosuslugi29.ru/pgu/department/info.htm?id=15982@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Отдел опеки, попечительства и социальной политики отдела образования муниципального образования ""Виноградовский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=15693@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация Исакогорского и Цигломенского территориальных округов Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16099@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация Ломоносовского территориального округа Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=15701@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация Маймаксанского территориального округа Администрации городского округа""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16096@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация Октябрьского территориального округа Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16094@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация Северного территориального округа Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16107@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация Соломбальского территориального округа Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16098@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация территориального округа Варавино-Фактория Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16095@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Администрация территориального округа Майская горка Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16097@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Департамент градостроительства Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16173@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Департамент муниципального имущества Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16249@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Департамент организационной работы, общественных связей и контроля",https://gosuslugi29.ru/pgu/department/info.htm?id=16131@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Департамент по вопросам семьи, опеки и попечительства Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=15679@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Департамент транспорта, строительства и городской инфраструктуры Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16134@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Департамент экономического развития Администрации городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16491@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Управление по физической культуре и спорту Администрации городского  округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16174@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное автономное  дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида  № 7 ""Семицветик""",https://gosuslugi29.ru/pgu/department/info.htm?id=22255@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное автономное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 124 ""Мирославна""",https://gosuslugi29.ru/pgu/department/info.htm?id=22264@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное автономное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 157 ""Сиверко""",https://gosuslugi29.ru/pgu/department/info.htm?id=22413@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное автономное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 117 ""Веселые звоночки""",https://gosuslugi29.ru/pgu/department/info.htm?id=22412@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное автономное учреждение дополнительного образования городского округа ""Город Архангельск""  ""Центр технического творчества, спорта и развития детей ""Архангел""",https://gosuslugi29.ru/pgu/department/info.htm?id=22310@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад  общеразвивающего вида № 147 ""Рябинушка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22245@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 100 ""Ельничек""",https://gosuslugi29.ru/pgu/department/info.htm?id=22256@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 101""",https://gosuslugi29.ru/pgu/department/info.htm?id=22257@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 104 ""Росточек""",https://gosuslugi29.ru/pgu/department/info.htm?id=22258@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 11 ""Полянка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22259@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 116 ""Загадка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22260@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 118 ""Калинушка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22261@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 119 ""Поморочка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22262@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 123 ""АБВГДейка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22263@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 135 ""Дюймовочка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22265@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 148 ""Рябинушка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22266@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 154 ""Колобок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22267@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 159 ""Золотая рыбка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22268@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 167 ""Улыбка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22269@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 172 ""Клюковка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22270@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 174 ""Ягодка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22271@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 178 ""Россияночка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22272@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 180 ""Парусок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22273@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 183 ""Огонек""",https://gosuslugi29.ru/pgu/department/info.htm?id=22274@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 186 ""Веснушка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22275@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 187 ""Умка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22276@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 37 ""Колобок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22277@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 39 ""Солнышко""",https://gosuslugi29.ru/pgu/department/info.htm?id=22278@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 59 ""Белоснежка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22279@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 66 ""Беломорочка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22281@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 84 ""Сказка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22282@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад комбинированного вида № 96 ""Сосенка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22283@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад компенсирующего вида № 112 ""Гвоздичка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22284@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад компенсирующего вида № 13 ""Калинка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22285@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад компенсирующего вида № 162 ""Рекорд""",https://gosuslugi29.ru/pgu/department/info.htm?id=22286@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад компенсирующего вида № 32 ""Песенка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22288@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад компенсирующего вида № 91 ""Речецветик""",https://gosuslugi29.ru/pgu/department/info.htm?id=22289@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида  № 6 ""Олененок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22290@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 10 ""Родничок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22291@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 103 ""Золотой ключик""",https://gosuslugi29.ru/pgu/department/info.htm?id=22292@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 113 ""Ветерок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22293@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 121 ""Золушка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22294@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 131 ""Радуга""",https://gosuslugi29.ru/pgu/department/info.htm?id=22305@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 151 ""Рыбачок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22295@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 16 ""Дубок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22296@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 171 ""Зеленый огонек""",https://gosuslugi29.ru/pgu/department/info.htm?id=22297@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 31 ""Ивушка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22298@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 47 ""Теремок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22299@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 56 ""Туесок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22254@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 77 ""Морошка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22314@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 88""",https://gosuslugi29.ru/pgu/department/info.htm?id=22300@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад общеразвивающего вида № 94 ""Лесовичок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22301@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад № 110 ""Морячок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22246@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад № 132 ""Алые паруса""",https://gosuslugi29.ru/pgu/department/info.htm?id=22249@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад № 20 ""Земляничка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22251@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Детский сад № 54 ""Веселые ребята""",https://gosuslugi29.ru/pgu/department/info.htm?id=22253@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Центр развития ребенка - детский сад № 140 ""Творчество""",https://gosuslugi29.ru/pgu/department/info.htm?id=22302@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Центр развития ребенка - детский сад № 173 ""Подснежник""",https://gosuslugi29.ru/pgu/department/info.htm?id=22303@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск"" ""Центр развития ребенка - детский сад № 50 ""Искорка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22304@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение городского округа ""Город Архангельск""""Детский сад № 127 ""Почемучка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22248@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Муниципальное бюджетное дошкольное образовательное учреждение муниципального образования ""Город Архангельск"" ""Детский сад комбинированного вида № 61 ""Звездочка""",https://gosuslugi29.ru/pgu/department/info.htm?id=22280@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
