,Ссылка,Всего услуг,"Полностью электронных, %успешных","Частично электронных, %успешных","Неэлектронных, %успешных",% успешных
Агентство по организационному обеспечению деятельности мировых судей Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22221@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Агентство по тарифам и ценам Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=21194@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Контрактное агентство Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15973@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Министерство связи и информационных технологий Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=21435@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Министерство экономического развития, промышленности и науки Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=21503@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Правительство Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22236@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Межтерриториальный отдел по Вельскому и Шенкурскому районам агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15875@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Межтерриториальный отдел по г. Коряжме, Вилегодскому и Ленскому районам агентства записи актов гражданского состояния Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=15870@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Межтерриториальный отдел по Котласскому, Верхнетоемскому и Красноборскому районам агентства записи актов гражданского состояния Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=15866@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Межтерриториальный отдел по Пинежскому, Лешуконскому и Мезенскому районам агентства записи актов гражданского состояния Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=15856@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по Виноградовскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15857@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
