,name,link,total,failed,%
21235@egOrganization,"Государственное бюджетное учреждение Архангельской области ""Государственный Архив Архангельской области""",https://gosuslugi29.ru/pgu/department/info.htm?id=21235@egOrganization,0,0,100.00%
16645@egOrganization,Государственное бюджетное учреждение культуры Архангельской области «Архангельская областная научная ордена «Знак Почета» библиотека имени Н. А. Добролюбова»,https://gosuslugi29.ru/pgu/department/info.htm?id=16645@egOrganization,0,0,100.00%
16648@egOrganization,Государственное бюджетное учреждение культуры Архангельской области «Архангельский молодежный театр»,https://gosuslugi29.ru/pgu/department/info.htm?id=16648@egOrganization,0,0,100.00%
16647@egOrganization,Государственное бюджетное учреждение культуры Архангельской области «Архангельской театр драмы имени М.В. Ломоносова»,https://gosuslugi29.ru/pgu/department/info.htm?id=16647@egOrganization,0,0,100.00%
16646@egOrganization,Государственное бюджетное учреждение культуры Архангельской области «Государственный академический Северный русский народный хор»,https://gosuslugi29.ru/pgu/department/info.htm?id=16646@egOrganization,0,0,100.00%
16650@egOrganization,Государственное бюджетное учреждение культуры Архангельской области «Поморская филармония»,https://gosuslugi29.ru/pgu/department/info.htm?id=16650@egOrganization,0,0,100.00%
17989@egOrganization,Государственное учреждение культуры Архангельской области Архангельский краеведческий музей,https://gosuslugi29.ru/pgu/department/info.htm?id=17989@egOrganization,0,0,100.00%
22410@egOrganization,Государственное автономное образовательное учреждение дополнительного профессионального образования «Архангельский областной институт открытого образования»,https://gosuslugi29.ru/pgu/department/info.htm?id=22410@egOrganization,0,0,100.00%
16028@egOrganization,Государственное автономное образовательное учреждение среднего профессионального  образования Архангельской области «Вельский сельскохозяйственный техникум имени  Г.И. Шибанова»,https://gosuslugi29.ru/pgu/department/info.htm?id=16028@egOrganization,0,0,100.00%
16044@egOrganization,Государственное автономное образовательное учреждение среднего профессионального образования  Архангельской области «Вельский индустриальный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16044@egOrganization,0,0,100.00%
16037@egOrganization,Государственное автономное образовательное учреждение среднего профессионального образования Архангельской области «Архангельский политехнический техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16037@egOrganization,0,0,100.00%
16005@egOrganization,Государственное автономное образовательное учреждение среднего профессионального образования Архангельской области «Няндомский железнодорожный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16005@egOrganization,0,0,100.00%
16011@egOrganization,"Государственное автономное образовательное учреждение среднего профессионального образования Архангельской области «Техникум строительства, дизайна и технологий»",https://gosuslugi29.ru/pgu/department/info.htm?id=16011@egOrganization,0,0,100.00%
16009@egOrganization,Государственное автономное образовательное учреждение среднего профессионального образования Архангельской области «Устьянский индустриальный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16009@egOrganization,0,0,100.00%
16023@egOrganization,"Государственное автономное профессиональное образовательное  учреждение Архангельской области «Архангельский техникум водных магистралей имени 
С.Н. Орешкова»",https://gosuslugi29.ru/pgu/department/info.htm?id=16023@egOrganization,0,0,100.00%
16041@egOrganization,"Государственное автономное профессиональное образовательное учреждение Архангельской области ""Красноборский лесотехнический техникум""",https://gosuslugi29.ru/pgu/department/info.htm?id=16041@egOrganization,0,0,100.00%
16045@egOrganization,"Государственное автономное профессиональное образовательное учреждение Архангельской области ""Новодвинский индустриальный техникум""",https://gosuslugi29.ru/pgu/department/info.htm?id=16045@egOrganization,0,0,100.00%
16019@egOrganization,Государственное автономное профессиональное образовательное учреждение Архангельской области «Архангельский торгово-экономический колледж»,https://gosuslugi29.ru/pgu/department/info.htm?id=16019@egOrganization,0,0,100.00%
16012@egOrganization,Государственное автономное профессиональное образовательное учреждение Архангельской области «Коряжемский индустриальный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16012@egOrganization,0,0,100.00%
16007@egOrganization,Государственное автономное профессиональное образовательное учреждение Архангельской области «Котласский электромеханический техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16007@egOrganization,0,0,100.00%
16040@egOrganization,Государственное автономное профессиональное образовательное учреждение Архангельской области «Северодвинский техникум социальной инфраструктуры»,https://gosuslugi29.ru/pgu/department/info.htm?id=16040@egOrganization,0,0,100.00%
15972@egOrganization,Государственное автономное учреждение Архангельской области «Центр оценки качества образования»,https://gosuslugi29.ru/pgu/department/info.htm?id=15972@egOrganization,0,0,100.00%
16022@egOrganization,Государственное бюджетное образовательное учреждение Архангельской области «Специальное профессиональное училище закрытого типа»,https://gosuslugi29.ru/pgu/department/info.htm?id=16022@egOrganization,0,0,100.00%
